x, y, 
-1.9999419258747209, -0.5000009902268349, 
-1.9999422687933912, -0.5000009904192024, 
-1.999942594116632, -0.5000009907997085, 
-1.9999428546035094, -0.5000009910085025, 
-1.9999430308833215, -0.5000009912060747, 
-1.999943087495148, -0.5000009914452078, 
-1.9999430300551924, -0.5000009915904458, 
-1.9999428843235092, -0.5000009915618536, 
-1.9999426427583331, -0.5000009917936592, 
-1.9999423794624815, -0.5000009917918422, 
-1.9999420973408786, -0.5000009919057166, 
-1.999941859308693, -0.5000009920368071, 
-1.9999416766900773, -0.5000009920631796, 
-1.9999415676801546, -0.5000009922618062, 
-1.9999415685108715, -0.5000009923794054, 
-1.9999416474684701, -0.5000009925926713, 
-1.9999418149669899, -0.500000992761378, 
-1.9999420219652335, -0.5000009928917071, 
-1.9999422428367808, -0.5000009931299234, 
-1.9999424560295918, -0.5000009932697332, 
-1.9999426150264767, -0.5000009933463025, 
-1.9999427113969415, -0.5000009935447874, 
-1.9999427289922658, -0.5000009935730071, 
-1.9999426749919935, -0.5000009936813431, 
-1.999942554444416, -0.500000993640431, 
-1.9999423968044032, -0.5000009937612354, 
-1.9999422278108727, -0.5000009937730191, 
-1.9999420868557252, -0.5000009937310376, 
-1.999941963667123, -0.5000009938333665, 
-1.9999418889859828, -0.5000009937707907, 
-1.9999418556040205, -0.5000009939308492, 
-1.999941883586713, -0.5000009938838582, 
-1.9999419380515344, -0.5000009940595453, 
-1.9999420256416762, -0.5000009940936928, 
-1.9999421371910384, -0.5000009941899062, 
-1.999942251954554, -0.5000009942757986, 
-1.9999423703904005, -0.5000009942298578, 
-1.999942445334115, -0.5000009943720669, 
-1.999942479667215, -0.5000009943515175, 
-1.9999424542138142, -0.5000009944142586, 
-1.999942399924654, -0.5000009944087818, 
-1.9999423114480148, -0.5000009943560645, 
-1.999942226980179, -0.5000009943416543, 
-1.999942125115792, -0.5000009943592612, 
-1.9999420517994153, -0.5000009942477188, 
-1.9999419960766345, -0.5000009943528451, 
-1.9999419742985598, -0.5000009943128462, 
-1.999941987103615, -0.5000009943519977, 
-1.9999420205793057, -0.5000009943824781, 
-1.9999420922534847, -0.5000009943610818, 
-1.9999421617555266, -0.5000009944205059, 
-1.9999422279093495, -0.5000009944215743, 
-1.9999422864695597, -0.5000009943632565, 
-1.9999423308896458, -0.5000009944182884, 
-1.9999423469889421, -0.5000009943525262, 
-1.9999423249634527, -0.5000009944153226, 
-1.9999422915612233, -0.5000009943951036, 
-1.9999422413818466, -0.5000009943673339, 
-1.9999421953808887, -0.5000009942959556, 
-1.9999421429721402, -0.5000009942861632, 
-1.999942087530238, -0.5000009942408019, 
-1.9999420491850064, -0.5000009942431834, 
-1.999942027423867, -0.5000009941319743, 
-1.9999420273243955, -0.5000009942370837, 
-1.9999420536650288, -0.5000009941178329, 
-1.9999420873783493, -0.5000009942262418, 
-1.9999421211286026, -0.5000009941305286, 
-1.999942142667239, -0.5000009942122928, 
-1.9999421583481003, -0.5000009941946464, 
-1.9999421690414945, -0.5000009941759804, 
-1.9999421706827556, -0.5000009941385585, 
-1.9999421620173277, -0.5000009940729588, 
-1.99994214284692, -0.5000009940490188, 
-1.9999421132775177, -0.5000009941134234, 
-1.999942078159084, -0.5000009940806444, 
-1.9999420544514674, -0.5000009939974609, 
-1.9999420312002596, -0.5000009940455558, 
-1.9999420355415714, -0.5000009939367022, 
-1.9999420385729276, -0.5000009940382313, 
-1.9999420600264979, -0.5000009939868674, 
-1.9999420865747455, -0.500000994032797, 
-1.9999421131151083, -0.500000993901836, 
-1.9999421258205943, -0.5000009939657756, 
-1.9999421298531757, -0.5000009940008957, 
-1.999942129303378, -0.5000009939846808, 
-1.999942122309256, -0.5000009939589826, 
-1.999942105086967, -0.500000993909934, 
-1.9999420776449466, -0.5000009938305896, 
-1.9999420393962601, -0.5000009939376341, 
-1.999942026972866, -0.500000993881104, 
-1.9999420136822312, -0.5000009939194049, 
-1.9999420200231757, -0.5000009937991858, 
-1.9999420342020313, -0.5000009939063664, 
-1.9999420558573409, -0.5000009939170534, 
-1.9999420702715933, -0.500000993901223, 
-1.9999420797192657, -0.5000009938928588, 
-1.999942080121616, -0.5000009938660211, 
-1.9999420702199215, -0.500000993811336, 
-1.9999420498182672, -0.5000009937985658, 
